client_id,client_name,full_text
3423,Лариса,"Лариса: Я хочу знать есть ли такой ортез на обьем бедра65 см выше колена
Виктория: Добрый день. Данная модель идет максимально 50+см. Будет узко сидеть по объему на ноге."
3422,Анфиса,"Анфиса: Здравствуйте, подскажите, пожалуйста, можно ли приобрести вашу подушку в рассрочку?
Анна: Добрый день! Да, при покупке в салоне действуют карты рассрочки. Подскажите, какая подушка Вас заинтересовала? Посмотрим наличие в ближайшем для Вас салоне"
3383,Наталья,"Наталья: Здравствуйте, подскажите пожалуйста у вас есть компрессионные чулки 2 класс, с открытым носком для операции?
Анна: Добрый день. Есть госпитальные чулки, подбираются по замерам. https://www.ortos.by/catalog/meditsinskiy-kompressionnyy-trikotazh/chulki-dlya-rodov-i-operatsiy/gospitalnye-chulki-na-shirokoe-bedro-venoteks-hospital-pro23-2r237/
Наталья: Спасибо)
Наталья: Здравствуйте, покупала 10 апреля компрессионные чулки 2 класс, но сегодня он порвался при одевании на батлер, посадите это может являться гарантийный случаем или нет?
Анна: Здравствуйте. Вы приобретали самостоятельно в салоне или на доставку?
Наталья: Самостоятельно, при обращении в магазин по адресу г. Минск пр. Дзержинского
Анна: Обратитесь в салон, в котором приобретали товар в дни и часы работы заведующей: пн-пт, 9:00-17:00
Наталья: В это время не могу к сожалению, могу после 17.00?
Анна: Приходите после 17
Наталья: Спасибо
Анна: 🌺"
3421,Мальвина,"Мальвина: Здравствуйте,интересует 
НАКОЛЕННИК РАЗЪЁМНЫЙ С МЕТАЛЛИЧЕСКИМИ ШАРНИРАМИ ORLETT RKN-203 
Под коленом 35-46 +- какой размер нужен?
Виктория: Добрый день. У Вас большая разбежка в замерах, это будет XL либо XXL. В любом случае, лучше приехать в салон и примерить оба размера."
3420,Елена,"Елена: Здравствуйте, можно ли у вас заказать отрез по почте или евро почте?
Анна: Здравствуйте. Работаем только с Автолайтэкспресс. Доставка курьером по Вашему адресу. Подскажите, какой ортез Вас нужен?"
3419,Вика,"Вика: Добрый день ! Хотела бы купить стельки при поперечном плоскостопии , чтобы разгрузить плюсневую часть и выпрямить пальцы
Виктория: Добрый день. Подскажите, будет возможность приехать в салон для примерки нескольких моделей?
Вика: Да, можете модельки показать на сайте ?)
Вика: И когда можно подъехать ?
Виктория: Подскажите, что с пальцами?
Вика: Они просто подкручиваются , давление на плюсневую часть. Нужно , чтобы они выпрямлялись и разгружали эту часть ноги
Вика: Хирург говорил , что нужны вкладыши
Виктория: С помощью стельки пальцы не получится выпрямить, однако, разгрузить плюсневую часть и снять нагрузку будет возможно.
Вика: А вкладыши ?
Вика: У меня написано , что нужны вкладыши )
Виктория: Вкладыши как правило используются при натоптышах.
Виктория: https://www.ortos.by/catalog/ortopedicheskie-stelki/vkladyshi-v-obuv/ortopedicheskie-vkladyshi-pri-natoptyshakh-ortmann-secret/
Вика: У меня написано , что нужны индивидуальные вкладыши
Вика: Может под заказ
Виктория: У нас только изготовление индивидуальных стелек.
Вика: Понятно. Я могу приехать к вам и проконсультироваться с профессионалом? Поехать рецепт , там указан ваш сайт. Что-то не сходится информация
Вика: Показать рецепт *
Виктория: Отдельно консультации специалист не проводит. Он принимает в рамках изготовления.
Вика: Хорошо , я хочу записаться на изготовление )
Виктория: Стоимость изготовления от 370 до 420 рублей. В день приема с Вами состовляется договор, по которому вносится 70% предоплата. Стельки изготавливаются в районе 20 рабочих дней.
Виктория: Специалист принимает в Минске на ул. Гикало 1.
Виктория: Для записи укажите ФИО и контактный номер телефона. На какую дату смотреть для Вас время?"
3375,Мандрик Татьяна Михайловна,"Мандрик Татьяна Михайловна: Здравствуйте,а бежевый цвет таких нету?
Анна: Доброе утро! К сожалению, данная модель представлена только в синем цвете
Мандрик Татьяна Михайловна: Здравствуйте,я вижу что уже вообще таких нету,а подскажите может ещё будут именно такие 37 р,цвет уже не важен,но предпочтительно бежевый
Мандрик Татьяна Михайловна: Может быть ещё где завалялись на складе?
Виктория: Добрый день. Данной модели нет  в наличии.
Виктория: Можем предложить похжий вариант: https://www.ortos.by/catalog/ortopedicheskaya-obuv/zhenskaya/zhenskie-ortopedicheskie-sandalii-berkemann-dore-bezhevyy-blestki/
Виктория: https://www.ortos.by/catalog/ortopedicheskaya-obuv/zhenskaya/zhenskie-ortopedicheskie-sandalii-berkemann-rina-pesochnyy-bezhevyy/"
3418,Алла,"Алла: Добрый день! Липучки на пантолетах на всех переплетениях?
Виктория: Добрый день. Какая модель Вас интересует?
Алла: На фото плохо видно,где лиручки?  Модеь черные графит замшевые.
Алла: Бренд ORTMANN
Алла: TILLY
Виктория: Липучка только одна
Виктория: На ремешке
Алла: А ремешок где?
Виктория: Могу Вам в вайбер отправить детальное фото
Алла: Да,отправьте?
Виктория: На какой номер?
Алла: +375(29)632-33-65
Виктория: Ожидайте сообщение в вайбер
Алла: Может еще можете предложить,на высокий подъем
Виктория: Какой размер необходим?
Алла: 42"
3417,Старкова Галина Николаевна,"Старкова Галина Николаевна: КАК КУПИТЬ  ПЕРЧАТКИ СИГВАРИС РЕЗИНОВЫЕ СДЕЛАЛА ЗАКАЗ НИКТО НЕ ЗВОНИТ
Старкова Галина Николаевна: КАК КУПИТЬ  ПЕРЧАТКИ СИГВАРИС РЕЗИНОВЫЕ СДЕЛАЛА ЗАКАЗ НИКТО НЕ ЗВОНИТ
Старкова Галина Николаевна: НУ ГДЕ ВЫ ОПЕРАТОРЫ
Старкова Галина Николаевна: И ЗДЕСЬ ТИШИНА И МОЛЧАНИЕ
Старкова Галина Николаевна: НУ И ЧЕГО ТОГДА ВАМ ПИСАТЬ
Старкова Галина Николаевна: НЕ ОТВЕЧАЕТЕ И НЕ ЗВОНИТЕ
Старкова Галина Николаевна: ЧТО ВЫ ЗА ФИРМА
Старкова Галина Николаевна: НАКОНЕЦ-ТО  ПОЯВИЛАССЬ ВИКТОРИЯ  АУ АУ АУ
Старкова Галина Николаевна: ВИКТОРИЯ БУДЕТЕ ОБЩАТЬСЯ ТО
Виктория: Добрый день. Ответный звонок у нас есть возможность только на белорусский номер. Товар можно приобрести в одном из салонов Ортос (на территории РБ): https://www.ortos.by/store/. Также возможна доставка по территории РБ.
Старкова Галина Николаевна: А В РОССИЮ  НЕЛЬЗЯ ПРЕОБРЕСТИ
Виктория: Такой возможности нет.
Старкова Галина Николаевна: ТОГДА ДОСВИДОС"
3416,Мария,"Мария: Добрый день! В минске на притыцкого есть клей для фиксации компрессионного трикотажа?
Анна: Добрый! Да на Притыцкого есть этот товар. Забронировать на Ваше имя на три дня?
Мария: да, пожалуйста
Анна: На Марию, контактный № телефона 29 126 67 14?
Анна: Нужна одна штука?
Мария: верно
Мария: да, пока что один
Мария: для новых чулок, они вообще не держатся на дебре
Мария: бедре
Анна: Да, держит хорошо. Главное следовать инструкции по нанесению
Мария: спасибо
Анна: 🌺
Мария: я скорее всего послезавтра заберу
Анна: ❤️"
